Url,ExpirationOn,CertExpiresInDays,CheckResult,Details,Server,Service
https://ahima.org,9/8/2022 15:09,685,OKAY,,,Web_production
https://3m.ahima.org,,,ERROR,"Exception while checking URL https://3m.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://academy.ahima.org,3/31/2021 18:59,159,OKAY,,,
https://advocacy.ahima.org,2/22/2021 16:55,122,OKAY,,,
https://ahimabok-qa.ahima.org,,,ERROR,"Exception while checking URL https://ahimabok-qa.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://ahimabok-qa-authoring.ahima.org,,,ERROR,"Exception while checking URL https://ahimabok-qa-authoring.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://ahimaorg-qa.ahima.org,,,ERROR,"Exception while checking URL https://ahimaorg-qa.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://ahimaorg-qa-authoring.ahima.org,,,ERROR,"Exception while checking URL https://ahimaorg-qa-authoring.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The operation has timed out"" ",,
https://anyconnect.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1fw01,
https://aoe.ahima.org,11/27/2020 15:25,35,WARNING,"Cert for site https://aoe.ahima.org expires in 35 days [on 11/27/2020 15:25:01]
Threshold is 60 days. Check details:
Cert name: CN=aoe.ahima.org
Cert public key: 3082010A0282010100CBE1BB63DB3328E64C28AB8A6BAD2C6B12CA6FA74E7F2CB3490AE88DDAD058E4BFC01F5071685DCBD1A8BE61BF58910DC4F10F5EE38A88CCCF8FA2EE14A4DDE30F251C370DB90AF6FDDA14C948DA320F8D87E64761E27B2B89C819C2FDE2CD32437E1465E35D25445809FC96FE824B2D7FA59924A0CD72B05F61D4378562380D9BFFE796AFF8A0BDBCA79783C3F17F7BA30ACB41DBED8B3247C3DDD8195316FC68CDA9F57767984CD6F95729DA27F325840D86E4EC2C56F6C427CFD1439FB15F62EB06A4591C6EDBC864EFCB524984CF60F8195067A8622CF03D571F4540640A382A99BD942ADB0124D3C4F79CAE8AF3C628B6FA80A06439B3BBA4C68AABBA5D0203010001
Cert serial number: 04C584D0D9C33140CA7B9112BFF8A31CC6F9
Cert thumbprint: 7AE6A97FB87A46592921E3E567D1FFFF86514050
Cert effective date: 8/29/2020 4:25:01 PM
Cert issuer: C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,
